COD,LOC,REF,PRC,QTD
RP5K6,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 5k6r,0.15,72.00
RP5K76,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 5k76r,0.15,104.00
RP5M1,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 5m1r,0.15,98.00
RP604K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 604kr,0.15,134.00
RP60K4,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 60k4r,0.15,97.00
RP62K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 62kr,0.15,52.00
RP640K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 640kr,0.15,8.00
RP649K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 649kr,0.15,117.00
RP649,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 649r,0.15,98.00
RP64K9,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 64k9r,0.15,95.00
RP680K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 680kr :AA1,0.15,95.00
RP680,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 680r,0.15,81.00
RP68K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 68kr,0.15,88.00
RP68,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 68r,0.15,88.00
RP69R8,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 69r8,0.15,166.00
RP6K19,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 6k19r,0.15,131.00
RP6K81,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 6k81r,0.15,103.00
RP6K8,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 6k8r,0.15,54.00
RP750K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 750kr,0.15,130.00
RP750,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 750r,0.15,74.00
RP75K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 75kr,0.15,56.00
